,emotional_stability,agreeableness,predicted_rating_1
0,1.0,2.5,4.317424803
1,1.0,3.0,4.1352691749999995
2,1.0,4.0,4.6549212235
3,1.0,4.5,4.567793417
4,1.0,5.0,5.0
5,1.0,5.5,3.604940116
6,1.0,7.0,4.558849699
7,1.5,1.5,3.550462812
8,1.5,2.0,4.873310879
9,1.5,2.5,4.302240510333333
10,1.5,3.0,4.033956374
11,1.5,3.5,4.625634044666667
12,1.5,4.0,4.3567287409999995
13,1.5,4.5,4.52263025325
14,1.5,5.0,4.512925223
15,1.5,5.5,4.530265236
16,1.5,6.0,4.518004539
17,1.5,6.5,4.69381292
18,1.5,7.0,4.947659632
19,2.0,1.0,5.0
20,2.0,1.5,4.414992975666666
21,2.0,2.0,4.2444872574999994
22,2.0,2.5,4.487161159
23,2.0,3.0,4.187886523
24,2.0,3.5,4.425079899785715
25,2.0,4.0,4.4299098631
26,2.0,4.5,4.424698768333333
27,2.0,5.0,4.4893861116
28,2.0,5.5,4.3802134238
29,2.0,6.0,4.229045121333333
30,2.0,6.5,4.8775581599999995
31,2.0,7.0,4.683021718
32,2.5,1.5,4.344460854333334
33,2.5,2.0,3.9953059672
34,2.5,2.5,4.772491355
35,2.5,3.0,4.202328961875
36,2.5,3.5,4.405621834133333
37,2.5,4.0,4.314773412352942
38,2.5,4.5,4.505178424
39,2.5,5.0,4.2814913771
40,2.5,5.5,4.371443986714286
41,2.5,6.0,4.4264204362
42,2.5,6.5,4.456841597
43,3.0,1.0,4.589811159
44,3.0,1.5,4.733588181
45,3.0,2.0,4.450083399333334
46,3.0,2.5,4.3584411205
47,3.0,3.0,4.138782984
48,3.0,3.5,4.255430877774193
49,3.0,4.0,4.429952452125
50,3.0,4.5,4.323634834681818
51,3.0,5.0,4.342842510538461
52,3.0,5.5,4.5111095491111115
53,3.0,6.0,4.349244119
54,3.0,6.5,4.575715843666667
55,3.5,1.0,4.530790392
56,3.5,1.5,4.056132874666667
57,3.5,2.0,4.2903183691999995
58,3.5,2.5,4.374876212
59,3.5,3.0,4.3103236092
60,3.5,3.5,4.27480338217647
61,3.5,4.0,4.3438771888600005
62,3.5,4.5,4.39245505075
63,3.5,5.0,4.4526806666923076
64,3.5,5.5,4.42272363175
65,3.5,6.0,4.5743715575
66,3.5,6.5,4.299386964
67,4.0,1.5,4.32133650175
68,4.0,2.0,3.9840738884
69,4.0,2.5,4.301002814421053
70,4.0,3.0,4.247070806529412
71,4.0,3.5,4.340076512952381
72,4.0,4.0,4.294784442075757
73,4.0,4.5,4.419059804292683
74,4.0,5.0,4.311640861692307
75,4.0,5.5,4.347205693388889
76,4.0,6.0,4.3257310887000004
77,4.0,6.5,4.235820054333334
78,4.0,7.0,4.29006083
79,4.5,2.0,4.403459691857143
80,4.5,2.5,4.238004064181818
81,4.5,3.0,4.355057148714286
82,4.5,3.5,4.29306524382
83,4.5,4.0,4.345844632666667
84,4.5,4.5,4.341182927852941
85,4.5,5.0,4.341772377896552
86,4.5,5.5,4.3593635156470585
87,4.5,6.0,4.4515227972857145
88,4.5,6.5,4.6573899106
89,4.5,7.0,4.523379127166667
90,5.0,2.0,4.1441704455
91,5.0,2.5,4.2808348025
92,5.0,3.0,4.31143112675
93,5.0,3.5,4.326502509653846
94,5.0,4.0,4.3222068238333335
95,5.0,4.5,4.428135234137931
96,5.0,5.0,4.343834853407407
97,5.0,5.5,4.42346645675
98,5.0,6.0,4.237945698666667
99,5.0,6.5,4.2923773592000005
100,5.0,7.0,5.0
101,5.5,1.0,3.83291063
102,5.5,2.0,4.640317486
103,5.5,2.5,4.216650191699999
104,5.5,3.0,4.26072530364
105,5.5,3.5,4.491662680428571
106,5.5,4.0,4.292864936125
107,5.5,4.5,4.4246518640967745
108,5.5,5.0,4.516781896037037
109,5.5,5.5,4.332240022157895
110,5.5,6.0,4.364132136933334
111,5.5,6.5,4.5984150249999995
112,5.5,7.0,4.197258089333333
113,6.0,1.0,4.721192867
114,6.0,1.5,4.475869253
115,6.0,2.0,3.903425330333333
116,6.0,2.5,4.576260268222223
117,6.0,3.0,4.471181469375
118,6.0,3.5,4.3808747789
119,6.0,4.0,4.2942568074090905
120,6.0,4.5,4.394930007454546
121,6.0,5.0,4.483894373684211
122,6.0,5.5,4.3801110462380946
123,6.0,6.0,4.384036890277778
124,6.0,6.5,4.475676647842105
125,6.5,2.0,4.7362628744999995
126,6.5,2.5,4.26019745
127,6.5,3.0,4.315513974615385
128,6.5,3.5,4.376717393071429
129,6.5,4.0,4.40667875168
130,6.5,4.5,4.4207092082
131,6.5,5.0,4.279872216375
132,6.5,5.5,4.353282286181818
133,6.5,6.0,4.377696839181818
134,6.5,6.5,4.342274244272727
135,6.5,7.0,4.37992508925
136,7.0,1.0,4.282550399
137,7.0,1.5,4.365271279
138,7.0,2.0,4.452600347
139,7.0,2.5,3.9381307813333333
140,7.0,3.0,4.501696467125
141,7.0,3.5,4.320124473083333
142,7.0,4.0,4.349366895
143,7.0,4.5,4.372018637
144,7.0,5.0,4.466781816642857
145,7.0,5.5,4.6189924297500005
146,7.0,6.0,4.3787031695
147,7.0,6.5,4.4207765542
148,7.0,7.0,4.3897038465
